"conversation_id","created_at","favorite_count","full_text","hashtags/0","hashtags/1","hashtags/2","id","media/0/media_url","media/0/type","media/1/media_url","media/1/type","reply_count","retweet_count","url","user/created_at","user/default_profile_image","user/description","user/fast_followers_count","user/favourites_count","user/followers_count","user/friends_count","user/has_custom_timelines","user/id_str","user/is_translator","user/listed_count","user/location","user/media_count","user/name","user/normal_followers_count","user/possibly_sensitive","user/profile_banner_url","user/profile_image_url_https","user/protected","user/screen_name","user/statuses_count","user/translator_type","user/url","user/verified","user_mentions/0/id_str","user_mentions/0/name","user_mentions/0/screen_name","user_mentions/1/id_str","user_mentions/1/name","user_mentions/1/screen_name"
"1612367690383122434","2023-01-09T09:20:47.000Z","3","@Dailymirror_SL Destroyed ? Forgotten the how LTTE almost ruined our country ? We’re you born after 2009? Forgotten how millions were dumped 5 feet under around the world , how SL overcame once in 100 year pandemic 😝😝😝😝",,,,"1612378842412507137",,,,,"0","0","https://twitter.com/sl_middle/status/1612378842412507137","2015-07-16T10:38:01.000Z","false","Patriotic, Devoted Catholic Sri Lankan with heart in Australia and soul in Sri Lanka. Leading from the front, Disciplined","0","4414","1386","1330","false","3281494490","false","4","Melbourne, Victoria","3739","SL Middle Class","1386","false","https://pbs.twimg.com/profile_banners/3281494490/1666124912","https://pbs.twimg.com/profile_images/1582468475075072000/SvPmxc3N_normal.jpg","false","sl_middle","10631","none",,"false","66329707","DailyMirror","Dailymirror_SL",,,
"1612367690383122434","2023-01-09T09:58:08.000Z","2","@Dailymirror_SL Wishful thinking in a fools Paradise!",,,,"1612388244704071682",,,,,"0","1","https://twitter.com/BrendanSosa4/status/1612388244704071682","2021-12-10T02:30:50.000Z","true","","0","15","2","13","false","1469132326751772672","false","0","","0","Brendan Sosa","2","false",,"https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","false","BrendanSosa4","383","none",,"false","66329707","DailyMirror","Dailymirror_SL",,,
"1612367690383122434","2023-01-09T12:54:15.000Z","1","@Dailymirror_SL More like in people's arse...after being screwed right royal...",,,,"1612432565163655169",,,,,"0","0","https://twitter.com/faaazy/status/1612432565163655169","2010-01-22T08:46:02.000Z","false","","0","109","27","140","false","107354671","false","0","","21","Faazel Huzair","27","false","https://pbs.twimg.com/profile_banners/107354671/1625813937","https://pbs.twimg.com/profile_images/1313996239101325312/92ewwEQB_normal.jpg","false","faaazy","319","none",,"false","66329707","DailyMirror","Dailymirror_SL",,,
"1612367690383122434","2023-01-09T15:59:29.000Z","0","@Dailymirror_SL Maybe remain in the hearts and minds of people to chase you down the road when you come begging for their vote…",,,,"1612479180519919616",,,,,"0","0","https://twitter.com/Carter78Dan/status/1612479180519919616","2021-01-04T14:59:51.000Z","false","","0","611","9","41","true","1346109022303182851","false","1","","30","DanCarter78","9","true","https://pbs.twimg.com/profile_banners/1346109022303182851/1610018706","https://pbs.twimg.com/profile_images/1347142207602520069/_Oca6Biz_normal.jpg","false","Carter78Dan","1563","none",,"false","66329707","DailyMirror","Dailymirror_SL",,,
"1612367690383122434","2023-01-10T01:54:46.000Z","0","@Dailymirror_SL To say something this bold after being the first gov to bankrupt the country in its history is startling. But what’s more clear is SLPP believes the electorate is that dumb and forgetful to vote them back into power - which is a possibility.",,,,"1612628986215137280",,,,,"0","0","https://twitter.com/Mahilmuthu/status/1612628986215137280","2013-07-31T14:06:07.000Z","false","“An unexamined life is not worth living.” so I enjoy examining!","0","354","13","73","false","1635540894","false","0","Melbourne, Victoria","1","Mahil Muthu","13","false","https://pbs.twimg.com/profile_banners/1635540894/1659857307","https://pbs.twimg.com/profile_images/1556180407200382976/vuPpDZ-E_normal.jpg","false","Mahilmuthu","284","none",,"false","66329707","DailyMirror","Dailymirror_SL",,,
"1612367690383122434","2023-01-10T04:10:15.000Z","0","@Dailymirror_SL Never forgive and never forget. 
Zero accountability. Turn back to your elderly and ask a simple question - what these bunch of goons have done to their decades of hard work/earning/savings?",,,,"1612663083293462529",,,,,"0","0","https://twitter.com/Infiyas/status/1612663083293462529","2010-03-26T09:35:23.000Z","false","Ardent cricket fan, Decent human being and many more :)","0","121","20","745","false","126580245","false","0","London, Dubai, Colombo","6","Infiyas","20","false",,"https://pbs.twimg.com/profile_images/1589132247709503488/30XKjL1j_normal.jpg","false","Infiyas","300","none",,"false","66329707","DailyMirror","Dailymirror_SL",,,
"1612367690383122434","2023-01-10T09:57:33.000Z","0","@Dailymirror_SL Fu.... cking pipe dream noh. This bugger is a Bloody shame on the sri lankan legal fraternity stooping so low to keep a bunch of absolute vultures in power. FFS why and for what???",,,,"1612750482694631427",,,,,"0","0","https://twitter.com/SLMyParadise/status/1612750482694631427","2022-09-12T15:05:42.000Z","false","","0","17","1","84","false","1569341442665086976","false","0","","5","Deen","1","false",,"https://pbs.twimg.com/profile_images/1569341705924612103/ufDRoyIZ_normal.jpg","false","SLMyParadise","219","none",,"false","66329707","DailyMirror","Dailymirror_SL",,,
"1612367690383122434","2023-01-10T10:55:51.000Z","0","@Dailymirror_SL How these scumbags are smiling after bankrupting the nation? Never forget how they are smiling when people are suffering!",,,,"1612765156941127685",,,,,"0","0","https://twitter.com/nzansi00/status/1612765156941127685","2009-10-20T12:03:59.000Z","false","Sri Lankan | Engineer","0","12340","93","352","true","83828978","false","1","Sri Lanka","46","IA","93","false","https://pbs.twimg.com/profile_banners/83828978/1407784977","https://pbs.twimg.com/profile_images/1045995956028694528/6xpxTYZo_normal.jpg","false","nzansi00","242","none",,"false","66329707","DailyMirror","Dailymirror_SL",,,
"1612367690383122434","2023-01-09T09:11:23.000Z","0","@Dailymirror_SL Stupid fellow vomiting his madness",,,,"1612376477130973184",,,,,"0","0","https://twitter.com/johanzerah1/status/1612376477130973184","2016-02-15T18:53:06.000Z","true","caring for poor and raising voice against injustice","0","10","4","15","true","4915148314","false","0","","31","johan","4","false",,"https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","false","johanzerah1","1777","none",,"false","66329707","DailyMirror","Dailymirror_SL",,,
"1612367690383122434","2023-01-09T10:23:54.000Z","0","@Dailymirror_SL Who the f**k is this idiot..🤣 to see the peoples love come to a university lill bro",,,,"1612394726661160960",,,,,"0","0","https://twitter.com/Sadeepa2004/status/1612394726661160960","2022-07-05T04:16:31.000Z","false","","0","11607","9","309","false","1544173284828352533","false","0","","15","Sadeepa Theekshana","9","false",,"https://pbs.twimg.com/profile_images/1607560849513926657/mjqIEk1Q_normal.jpg","false","Sadeepa2004","1293","none",,"false","66329707","DailyMirror","Dailymirror_SL",,,
"1612367690383122434","2023-01-09T11:10:36.000Z","0","@Dailymirror_SL However much people may say that these idiots will be voted out, I feel they still have a bunch of selfish people who will vote for them for personal gain.",,,,"1612406480761950215",,,,,"0","0","https://twitter.com/KFCD123/status/1612406480761950215","2021-10-25T12:16:37.000Z","false","Marketeer. CSE investor. Political Analyst.","0","79","6","43","true","1452609945074081811","false","2","Sri Lanka","1","Keith","6","false",,"https://pbs.twimg.com/profile_images/1516041663877029889/xmxGL0Zo_normal.jpg","false","KFCD123","190","none",,"false","66329707","DailyMirror","Dailymirror_SL",,,
"1612367690383122434","2023-01-09T12:22:40.000Z","0","@Dailymirror_SL Delusional. Guess you won’t see this either, since you’re not on social media. #SriLankan","SriLankan",,,"1612424614566842368",,,,,"0","0","https://twitter.com/sarithran/status/1612424614566842368","2014-04-01T18:19:24.000Z","false","Doctor | Guitarist | Artist | Aviation Enthusiast","0","930","119","282","true","2422477002","false","3","Sri Lanka ","33","Sarith","119","false","https://pbs.twimg.com/profile_banners/2422477002/1417108406","https://pbs.twimg.com/profile_images/1550476456643334149/Ucah7oA2_normal.jpg","false","sarithran","759","none",,"false","66329707","DailyMirror","Dailymirror_SL",,,
"1612367690383122434","2023-01-09T14:58:09.000Z","1","@Dailymirror_SL I would love to see this donkey walk among the civilians without bodyguards. Stop giving airtime to idiots.",,,,"1612463744176783360",,,,,"0","1","https://twitter.com/YesithaBatepola/status/1612463744176783360","2009-06-19T14:55:17.000Z","false","female dog don't commit murder on my vibe.","0","787","53","217","false","48726087","false","1","Colmbo,Sri Lanka","103","Yesitha Batepola","53","false","https://pbs.twimg.com/profile_banners/48726087/1464753181","https://pbs.twimg.com/profile_images/1610199559942152192/ELZzZ1d__normal.jpg","false","YesithaBatepola","721","none","https://t.co/z689lRKpOy","false","66329707","DailyMirror","Dailymirror_SL",,,
