"conversation_id","created_at","favorite_count","full_text","hashtags/0","hashtags/1","hashtags/2","id","media/0/media_url","media/0/type","media/1/media_url","media/1/type","media/2/media_url","media/2/type","media/3/media_url","media/3/type","reply_count","retweet_count","url","urls/0/display_url","urls/0/expanded_url","urls/0/url","user/created_at","user/default_profile_image","user/description","user/fast_followers_count","user/favourites_count","user/followers_count","user/friends_count","user/has_custom_timelines","user/id_str","user/is_translator","user/listed_count","user/location","user/media_count","user/name","user/normal_followers_count","user/possibly_sensitive","user/profile_banner_url","user/profile_image_url_https","user/protected","user/screen_name","user/statuses_count","user/translator_type","user/url","user/verified","user_mentions/0/id_str","user_mentions/0/name","user_mentions/0/screen_name","user_mentions/1/id_str","user_mentions/1/name","user_mentions/1/screen_name","user_mentions/2/id_str","user_mentions/2/name","user_mentions/2/screen_name"
"1596549728795123715","2022-11-27T04:14:33.000Z","0","@RajapaksaNamal Reform ICT syllabus",,,,"1596719100327124992",,,,,,,,,"0","0","https://twitter.com/KMeeeaaow/status/1596719100327124992",,,,"2020-11-27T14:21:29.000Z","false","Say no to Racism, anyway I'm #සැබෑ_බෞද්ධයා .
Here my POV #මතය and #දර්ශනය .

තඩි කෙබර ගහන ගැටුම්වලට මැදිහත් නොවේ. 

Targeting #Facts ,දේශපාලනය #ජෙප්පෝ #Lka ♑","0","38094","500","926","true","1332328656308297739","false","3","දිව්‍යලෝකෙ","2778","K'at දෙයියෝ 🇺🇳 ❂","500","false","https://pbs.twimg.com/profile_banners/1332328656308297739/1664423471","https://pbs.twimg.com/profile_images/1604721016642539521/E0KiZoF0_normal.jpg","false","KMeeeaaow","49742","none",,"false","1356593833","Namal Rajapaksa","RajapaksaNamal",,,,,,
"1596549728795123715","2022-11-27T04:21:02.000Z","1","@RajapaksaNamal give EDUCATION to politicians first!!!!",,,,"1596720730615742464",,,,,,,,,"0","0","https://twitter.com/asitha911/status/1596720730615742464",,,,"2018-05-05T12:19:31.000Z","false","#GoHomeRanil","0","9873","152","39","true","992740572883443712","false","0","Colombo ","18","#GoHomeRanil","152","false","https://pbs.twimg.com/profile_banners/992740572883443712/1648886066","https://pbs.twimg.com/profile_images/1510161853904785414/wgnurgkJ_normal.jpg","false","asitha911","5754","none",,"false","1356593833","Namal Rajapaksa","RajapaksaNamal",,,,,,
"1596549728795123715","2022-11-27T04:22:13.000Z","1","@RajapaksaNamal How can we do the Law college exams in a closed cabin!",,,,"1596721026859413505",,,,,,,,,"0","0","https://twitter.com/nochivanni/status/1596721026859413505",,,,"2022-10-29T19:01:28.000Z","false","","0","628","8","68","false","1586433015525376001","false","0","","21","Siva","8","false","https://pbs.twimg.com/profile_banners/1586433015525376001/1668237420","https://pbs.twimg.com/profile_images/1610675764118130697/PE2wxd_Z_normal.jpg","false","nochivanni","206","none",,"false","1356593833","Namal Rajapaksa","RajapaksaNamal",,,,,,
"1596549728795123715","2022-11-27T04:38:41.000Z","0","@RajapaksaNamal Seat is large enough though https://t.co/hz00oDcHrc",,,,"1596725171548696577","https://pbs.twimg.com/media/Fii1EsEUoAERB_q.jpg","photo",,,,,,,"0","0","https://twitter.com/wkcsandeepa/status/1596725171548696577",,,,"2010-07-21T02:58:53.000Z","false","","0","3852","126","522","true","168919830","false","56","","19","Sandeepa WKC","126","true","https://pbs.twimg.com/profile_banners/168919830/1602682528","https://pbs.twimg.com/profile_images/1321670926749048833/U-U9rluu_normal.jpg","false","wkcsandeepa","735","none",,"false","1356593833","Namal Rajapaksa","RajapaksaNamal",,,,,,
"1596549728795123715","2022-11-27T04:44:42.000Z","0","@RajapaksaNamal Joke 😂",,,,"1596726685717917696",,,,,,,,,"0","0","https://twitter.com/Vimukthi_NS/status/1596726685717917696",,,,"2020-11-02T08:13:33.000Z","false","Srilankan : Cricket : Politics and Social","0","156433","423","434","false","1323176298458435584","false","1","Sri Lanka","108","Vimukthi N Suraweera","423","false","https://pbs.twimg.com/profile_banners/1323176298458435584/1604305617","https://pbs.twimg.com/profile_images/1488588886552940544/RzETJDt5_normal.jpg","false","Vimukthi_NS","1837","none",,"false","1356593833","Namal Rajapaksa","RajapaksaNamal",,,,,,
"1596549728795123715","2022-11-27T04:51:48.000Z","0","@RajapaksaNamal Crap talker!",,,,"1596728475033169920",,,,,,,,,"0","0","https://twitter.com/SoysaSuren/status/1596728475033169920",,,,"2021-05-08T15:38:56.000Z","false","A down to earth character. Love nature, traveling, fishing, shooting, camping. Horticulturist by profession. Love stray dogs & tasty food!","0","281","2","13","false","1391054779313319936","false","0","Sri Lanka","13","Suren Soysa","2","false","https://pbs.twimg.com/profile_banners/1391054779313319936/1620616610","https://pbs.twimg.com/profile_images/1392853279961321477/qbb-nCpB_normal.jpg","false","SoysaSuren","673","none",,"false","1356593833","Namal Rajapaksa","RajapaksaNamal",,,,,,
"1596549728795123715","2022-11-27T05:12:05.000Z","0","@RajapaksaNamal 💩💩💩🤦‍♂️",,,,"1596733577273933828",,,,,,,,,"0","0","https://twitter.com/Chanaka_Dass/status/1596733577273933828",,,,"2012-12-03T05:25:22.000Z","false","Investment Specialist","0","1141","39","172","true","985996057","false","6","Doha, Qatar","42","Chanaka Dassanayaka","39","false","https://pbs.twimg.com/profile_banners/985996057/1487489777","https://pbs.twimg.com/profile_images/833218627025436672/I0bVwz0M_normal.jpg","false","Chanaka_Dass","419","none",,"false","1356593833","Namal Rajapaksa","RajapaksaNamal",,,,,,
"1596549728795123715","2022-11-27T05:34:29.000Z","1","@RajapaksaNamal Bro. ARE YOU KIDDING SRILANKANS.?
VERY GOOD EDUCATION SYSTEM U ALREADY HAD SINCE 2005 TO 2015",,,,"1596739215081238533",,,,,,,,,"0","0","https://twitter.com/Kp010101/status/1596739215081238533",,,,"2022-04-21T14:31:40.000Z","true","SL 🌴🇱🇰","0","4924","9","106","true","1517149020606459906","false","0","","1","Kp","9","false",,"https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","false","Kp010101","179","none",,"false","1356593833","Namal Rajapaksa","RajapaksaNamal",,,,,,
"1596549728795123715","2022-11-27T05:35:45.000Z","0","@RajapaksaNamal Education policy reforms ?",,,,"1596739535353786368",,,,,,,,,"0","0","https://twitter.com/kishan12579271/status/1596739535353786368",,,,"2018-02-16T13:10:09.000Z","false","Research","0","1649","152","379","false","964487060533821441","false","1","Sri Lanka","78","Kishan Sugathapala","152","false",,"https://pbs.twimg.com/profile_images/1148980430927826944/U_HcvxbV_normal.jpg","false","kishan12579271","5156","none",,"false","1356593833","Namal Rajapaksa","RajapaksaNamal",,,,,,
"1596549728795123715","2022-11-27T05:35:58.000Z","0","@RajapaksaNamal නාමල් පමිකයා",,,,"1596739590018445312",,,,,,,,,"0","0","https://twitter.com/Darshan29390861/status/1596739590018445312",,,,"2020-04-09T06:51:37.000Z","false","i am social man","0","4866","81","440","false","1248141453429051393","false","0","Colombo ","52","Darshana","81","false",,"https://pbs.twimg.com/profile_images/1560750923810361344/h6Ie3YJp_normal.jpg","false","Darshan29390861","1223","none",,"false","1356593833","Namal Rajapaksa","RajapaksaNamal",,,,,,
